system:index,B2,B3,B4,B8,B11,ndvi,ndwi,classification,landcover
1_1_1_0_0_0,0.0207,0.0275,0.0141,0.0092,0.0021,-0.21030043,0.49863762,1,1
1_1_1_0_4_0,0.0186,0.0276,0.0135,0.0093,0.0021,-0.18421052,0.49593496,1,1
1_1_1_0_5_0,0.0186,0.0276,0.0135,0.0093,0.0021,-0.18421052,0.49593496,1,1
1_1_1_0_7_0,0.0193,0.0279,0.0135,0.0093,0.0021,-0.18421052,0.5,1,1
1_1_1_0_8_0,0.0205,0.0279,0.0146,0.0094,0.0021,-0.21666667,0.49597856,1,1
1_1_1_0_9_0,0.0205,0.0279,0.0146,0.0094,0.0021,-0.21666667,0.49597856,1,1
1_1_1_0_11_0,0.0191,0.0287,0.0147,0.0098,0.0021,-0.2,0.4909091,1,1
1_1_1_0_13_0,0.0206,0.0287,0.0147,0.0089,0.0021,-0.2457627,0.5265958,1,1
1_1_1_0_20_0,0.0189,0.0276,0.0135,0.0088,0.0021,-0.21076234,0.51648355,1,1
1_1_1_0_21_0,0.0189,0.0276,0.0135,0.0088,0.0021,-0.21076234,0.51648355,1,1
1_1_1_0_25_0,0.0198,0.0282,0.0137,0.0086,0.002,-0.22869955,0.5326087,1,1
1_1_1_0_34_0,0.0198,0.0272,0.0136,0.0085,0.0021,-0.23076923,0.52380955,1,1
1_1_1_0_41_0,0.02,0.0272,0.014,0.0086,0.0021,-0.23893805,0.51955307,1,1
1_1_1_0_43_0,0.0196,0.0277,0.0148,0.0086,0.0021,-0.26495728,0.5261708,1,1
1_1_1_0_46_0,0.0197,0.0279,0.0142,0.0086,0.0021,-0.24561404,0.5287671,1,1
1_1_1_0_49_0,0.0183,0.0269,0.0134,0.0085,0.0022,-0.22374429,0.519774,1,1
1_1_1_0_52_0,0.0189,0.0273,0.0139,0.0087,0.0021,-0.2300885,0.51666665,1,1
1_1_1_0_55_0,0.0187,0.0271,0.0136,0.0087,0.0024,-0.21973094,0.5139665,1,1
1_1_1_0_56_0,0.0188,0.0274,0.0136,0.0094,0.0021,-0.1826087,0.48913044,1,1
1_1_1_0_59_0,0.019,0.0279,0.0143,0.0086,0.0021,-0.2489083,0.5287671,1,1
1_1_1_0_61_0,0.0186,0.028,0.014,0.0089,0.0021,-0.22270742,0.5176152,1,1
1_1_1_0_64_0,0.0189,0.0271,0.0137,0.0085,0.0016,-0.23423423,0.5224719,1,1
